fecha,cdd,pr,rx5day,tas,tasmax,tasmin
1950-01-01,11.95,52.34,15.19,20.69,24.9,17.61
1950-02-01,13.12,60.15,32.48,21.0,25.3,17.71
1950-03-01,16.75,23.55,13.75,22.35,26.95,18.77
1950-04-01,9.39,87.36,39.6,22.46,26.53,19.3
1950-05-01,5.99,149.57,66.53,23.39,27.38,20.16
1950-06-01,5.14,115.45,61.56,24.29,28.07,21.36
1950-07-01,5.66,76.47,29.11,24.52,28.51,21.47
1950-08-01,6.27,172.11,72.7,25.04,28.95,22.16
1950-09-01,3.1,127.25,41.3,24.89,28.93,21.88
1950-10-01,2.87,118.06,40.24,24.12,28.14,21.14
1950-11-01,6.77,95.92,54.28,22.76,26.47,19.95
1950-12-01,6.19,84.78,45.05,22.01,25.72,19.21
1951-01-01,8.89,41.65,17.45,20.86,25.13,17.54
1951-02-01,14.0,26.95,17.28,20.54,25.24,16.88
1951-03-01,21.0,22.22,11.41,21.44,26.43,17.55
1951-04-01,7.98,154.74,76.95,23.71,28.09,20.23
1951-05-01,3.08,255.56,97.72,24.03,27.82,21.09
1951-06-01,4.36,106.18,38.84,24.76,28.68,21.47
1951-07-01,3.75,119.47,34.82,24.97,28.77,21.88
1951-08-01,3.94,101.31,33.06,25.48,29.63,22.18
1951-09-01,3.02,133.09,41.69,25.15,29.45,22.02
1951-10-01,4.26,95.7,39.72,24.77,29.05,21.56
1951-11-01,5.59,86.98,48.18,23.78,28.16,20.67
1951-12-01,11.59,56.77,29.14,22.38,26.71,19.15
1952-01-01,15.25,31.86,12.09,21.08,25.63,17.61
1952-02-01,13.24,23.61,13.86,22.18,26.75,18.71
1952-03-01,11.53,32.09,16.71,23.09,27.55,19.62
1952-04-01,5.52,187.74,71.7,23.32,27.32,20.29
1952-05-01,2.68,175.4,72.58,24.56,28.47,21.44
1952-06-01,4.34,90.73,32.84,25.11,29.16,21.77
1952-07-01,3.88,101.88,34.89,24.85,28.76,21.65
1952-08-01,2.9,94.95,32.79,25.24,29.24,21.97
1952-09-01,3.15,137.5,49.63,24.64,28.62,21.71
1952-10-01,6.31,66.7,26.31,24.67,28.6,21.54
1952-11-01,8.46,40.42,17.84,22.94,27.32,19.55
1952-12-01,12.3,27.66,14.06,21.5,25.68,18.17
1953-01-01,7.91,58.01,27.68,21.39,25.68,18.08
1953-02-01,13.1,20.12,9.54,21.94,26.47,18.24
1953-03-01,17.63,42.85,25.88,22.54,26.95,18.93
1953-04-01,8.6,39.92,14.21,23.86,28.15,20.35
1953-05-01,5.31,234.02,86.54,23.36,27.14,20.34
1953-06-01,3.04,127.88,40.0,24.21,27.94,21.08
1953-07-01,2.71,108.07,33.85,24.57,28.41,21.48
1953-08-01,5.6,71.61,22.79,25.01,28.92,21.85
1953-09-01,6.0,95.68,35.02,24.93,29.03,21.77
1953-10-01,4.51,98.02,38.64,24.16,28.15,21.02
1953-11-01,4.99,68.03,29.53,23.55,27.42,20.58
1953-12-01,9.57,71.36,49.38,22.5,26.45,19.37
1954-01-01,15.76,26.67,12.68,21.68,26.1,18.14
1954-02-01,4.42,169.88,79.2,21.09,24.8,18.14
1954-03-01,9.79,29.51,12.47,22.54,26.56,19.2
1954-04-01,10.41,61.1,36.94,22.85,27.3,19.28
1954-05-01,4.82,118.25,43.97,23.97,27.83,20.9
1954-06-01,6.12,116.27,52.54,24.4,28.49,20.98
1954-07-01,3.74,99.87,35.55,24.7,28.65,21.44
1954-08-01,4.01,90.98,35.76,24.95,28.98,21.67
1954-09-01,2.67,142.17,55.16,24.43,28.26,21.48
1954-10-01,4.58,273.8,151.11,23.03,26.65,20.26
1954-11-01,7.46,52.69,23.0,22.78,26.74,19.56
1954-12-01,10.07,43.64,20.17,21.36,25.49,17.96
1955-01-01,13.25,49.9,43.26,21.02,25.55,17.4
1955-02-01,7.74,50.35,43.98,21.07,25.26,17.91
1955-03-01,20.2,18.48,13.23,21.8,26.71,17.84
1955-04-01,9.0,97.41,69.08,22.5,26.98,18.92
1955-05-01,5.6,200.97,99.64,23.16,26.87,20.04
1955-06-01,4.73,136.03,80.61,24.14,27.81,21.1
1955-07-01,3.89,107.67,40.52,24.41,28.28,21.41
1955-08-01,3.61,133.2,42.93,25.1,29.1,21.82
1955-09-01,2.79,132.81,44.66,24.79,28.81,21.55
1955-10-01,3.65,139.95,61.19,24.25,28.03,21.06
1955-11-01,9.41,79.55,41.33,23.44,27.36,19.96
1955-12-01,10.6,34.76,41.55,22.19,26.34,18.57
1956-01-01,16.37,28.62,33.64,20.47,25.21,16.44
1956-02-01,11.58,81.48,55.19,21.28,25.46,17.68
1956-03-01,13.93,157.52,82.25,22.37,26.42,19.07
1956-04-01,6.47,58.5,27.23,23.42,27.36,19.9
1956-05-01,6.11,115.55,44.04,23.9,27.81,20.6
1956-06-01,4.38,123.62,64.81,24.26,28.18,20.78
1956-07-01,6.16,70.64,32.28,25.0,29.09,21.15
1956-08-01,4.76,71.87,22.58,25.29,29.56,21.45
1956-09-01,6.09,65.04,24.24,25.1,29.5,21.37
1956-10-01,3.84,178.45,103.19,24.19,28.19,20.94
1956-11-01,8.23,53.36,66.2,23.04,26.88,19.54
1956-12-01,15.41,38.51,13.81,22.2,26.47,18.34
1957-01-01,14.33,27.4,10.1,21.9,26.24,17.97
1957-02-01,14.22,32.98,17.56,21.87,26.44,17.76
1957-03-01,9.98,70.07,40.04,22.53,26.94,18.53
1957-04-01,12.09,43.61,19.2,23.51,27.89,19.55
1957-05-01,7.69,75.11,38.81,24.53,28.69,20.85
1957-06-01,5.19,121.66,45.75,24.79,28.84,21.33
1957-07-01,7.49,60.27,23.82,25.77,30.49,21.7
1957-08-01,4.71,95.56,33.15,25.79,30.48,22.06
1957-09-01,3.02,130.51,41.45,25.21,29.89,21.7
1957-10-01,5.02,93.16,34.39,24.38,28.91,20.88
1957-11-01,9.06,44.36,20.14,23.98,28.25,20.55
1957-12-01,10.91,76.79,32.57,22.8,26.89,19.65
1958-01-01,8.6,78.08,39.31,22.13,25.86,19.32
1958-02-01,6.8,70.74,33.05,21.58,25.44,18.54
1958-03-01,17.79,39.35,18.98,23.86,28.8,19.91
1958-04-01,7.12,61.73,29.99,24.97,29.68,21.13
1958-05-01,2.22,239.53,85.6,24.6,28.49,21.65
1958-06-01,3.28,189.44,84.83,24.99,28.9,21.86
1958-07-01,5.52,85.54,32.03,25.39,29.7,21.93
1958-08-01,5.68,81.61,32.7,25.79,30.57,22.22
1958-09-01,3.74,88.89,32.44,25.68,30.22,22.13
1958-10-01,5.57,89.33,36.19,24.8,29.24,21.36
1958-11-01,12.73,58.25,34.57,24.1,28.28,20.61
1958-12-01,16.18,17.2,6.98,23.5,28.03,19.65
1959-01-01,10.27,35.01,16.27,22.55,26.75,19.03
1959-02-01,14.07,17.01,7.12,22.81,27.46,19.02
1959-03-01,15.92,20.93,8.78,23.7,28.48,19.64
1959-04-01,7.9,132.46,58.72,23.82,27.77,20.49
1959-05-01,5.31,96.92,40.68,23.88,27.84,20.32
1959-06-01,8.08,66.97,31.57,24.95,29.72,21.14
1959-07-01,5.98,101.06,29.34,25.03,29.73,21.42
1959-08-01,5.93,83.29,31.5,24.99,29.86,21.42
1959-09-01,4.15,95.78,35.97,25.04,29.68,21.7
1959-10-01,5.72,110.97,42.51,24.15,28.6,21.06
1959-11-01,3.66,101.47,32.95,22.91,27.27,19.87
1959-12-01,7.97,52.1,22.61,22.6,26.88,19.47
1960-01-01,8.26,62.3,32.33,22.13,26.48,18.91
1960-02-01,7.95,57.16,26.04,22.62,26.99,19.39
1960-03-01,6.94,153.37,75.0,22.39,26.48,19.28
1960-04-01,5.06,171.02,66.96,23.09,27.3,20.0
1960-05-01,3.97,117.72,43.52,24.19,28.55,20.85
1960-06-01,3.66,105.91,39.8,24.68,28.88,21.57
1960-07-01,3.11,93.37,26.12,25.12,29.75,21.68
1960-08-01,3.94,119.25,55.86,24.79,29.25,21.53
1960-09-01,4.53,119.2,49.2,24.65,29.19,21.48
1960-10-01,3.18,121.46,37.99,24.0,28.62,20.84
1960-11-01,4.3,84.17,55.27,23.45,27.51,20.63
